Artist,song_album,Title,song_release_date
Alabama,Livin' Lovin' Rockin' Rollin': The 25th Anniversary Collection,Take Me Down,1980
Alabama,Livin' Lovin' Rockin' Rollin': The 25th Anniversary Collection,If I Had You,1980
Midland,Let It Roll,Lost In The Night,2019-08-23
Travis Tritt,Greatest Hits: From the Beginning,Can I Trust You With My Heart,1995
Tim McGraw,Everywhere,Everywhere,1997-06-03
Midland,On The Rocks,More Than A Fever,2017-09-22
Stoney LaRue,Us Time,Us Time,2015-10-16
Florida Georgia Line,Second Guessing (From Songland),Second Guessing - From Songland,2020-05-18
NEWCO,Sweet Maddie,Sweet Maddie,2020-06-14
Brett Young,Brett Young (Big Machine Radio Release Special),Mercy,2017-02-10
Thomas Rhett,Look What God Gave Her,Look What God Gave Her,2019-03-01
Shawn Mendes,Shawn Mendes,Fallin' All In You,2018-05-25
Maren Morris,HERO (Deluxe Edition),Rich,2017-03-17
Thomas Rhett,Life Changes (Big Machine Radio Release Special),Marry Me,2017-09-08
Brad Paisley,Hits Alive,The World,2010-11-02
Taylor Swift,Red (Deluxe Edition),Begin Again,2012-10-22
Matt Stell,Matt Stell,Prayed For You,2019-05-10
Matt Stell,Prayed For You (Acoustic),Prayed For You - Acoustic,2018-11-16
Tyler Rich,Tyler Rich EP,The Difference,2018-09-21
Thomas Rhett,Life Changes,Leave Right Now,2017-09-08
Brett Young,Here Tonight,Here Tonight,2018-09-14
Chris Lane,Take Back Home,Take Back Home Girl (Feat. Tori Kelly),2017-12-08
Cassadee Pope,Take You Home,Take You Home,2018-03-30
Jake Owen,Jake Owen,Made For You,2018-04-06
Levi Hummon,Good Taste,Good Taste,2020-07-24
Jordan Davis,Slow Dance In A Parking Lot,Slow Dance In A Parking Lot,2017-01-01
High Valley,Grew Up On That,Grew Up On That,2020-03-13
Florida Georgia Line,Long Live,Long Live,2020-09-10
Luke Combs,Without You,Without You,2020-09-18
Brett Young,Hallelujah,Hallelujah,2018-04-27
Filmore,Love That About You,Love That About You,2018-06-29
Kane Brown,Experiment,Good as You,2018-11-09
Old Dominion,Make It Sweet (Acoustic),Make It Sweet - Acoustic,2019-03-01
Matt Stell,Prayed For You (Wedding Version),Prayed For You - Wedding Version,2019-01-04
Brett Young,The Acoustic Sessions,Catch - The Acoustic Sessions,2019-09-13
Chris Young,Drowning (Piano Version),Drowning - Piano Version,2020-03-13
Dan + Shay,Speechless (feat. Tori Kelly),Speechless (feat. Tori Kelly),2019-06-07
Granger Smith,When The Good Guys Win,4 Wheel Drive,2017-10-27
Tay Watts,Body Like a Backroad (Acoustic),Body Like a Backroad (Acoustic),2017-02-08
Thomas Rhett,Life Changes,Sweetheart,2017-09-08
Thomas Rhett,Center Point Road,Barefoot,2019-05-31
Josh Turner,Deep South,One Like Mine,2017-03-10
Florida Georgia Line,Here's To The Good Times...This Is How We Roll,Cruise,2013-01-01
Florida Georgia Line,Here's To The Good Times...This Is How We Roll,Get Your Shine On,2013-01-01
Florida Georgia Line,Dig Your Roots,Grow Old,2016-08-26
Florida Georgia Line,Can't Say I Ain't Country,Like You Never Had It,2019-02-15
Florida Georgia Line,Can't Say I Ain't Country,Told You,2019-02-15
Florida Georgia Line,Can't Say I Ain't Country,Speed Of Love,2019-02-15
Dan + Shay,Where It All Began,What You Do to Me,2014-04-01
Dan + Shay,Where It All Began,Somewhere Only We Know,2014-04-01
Dan + Shay,Where It All Began,Close Your Eyes,2014-04-01
Dan + Shay,Obsessed,Sway,2016-06-03
Dan + Shay,Obsessed,Obsessed,2016-06-03
Brad Paisley,American Saturday Night,I Hope That's Me,2009-06-30
Brad Paisley,Time Well Wasted,The World,2005-08-16
Keith Urban,Keith Urban,Your Everything,1999-01-01
Keith Urban,Golden Road,Raining On Sunday,2002-01-01
Keith Urban,Be Here,Making Memories Of Us,2004-01-01
Keith Urban,Be Here,You're My Better Half,2004-01-01
Keith Urban,Defying Gravity,Sweet Thing,2009-01-01
Keith Urban,Get Closer,Put You In A Song,2010-01-01
Keith Urban,Get Closer,All For You,2010-01-01
Keith Urban,Get Closer,Long Hot Summer,2010-01-01
Bebe Rexha,Meant to Be (Acoustic),Meant to Be - Acoustic,2018-04-06
Rascal Flatts,Back To Life,Back To Life,2018-09-28
Aubrie Sellers,Something Special,Something Special,2016-09-16
Glen Campbell,Gentle On My Mind (Remastered),Gentle On My Mind - Remastered 2001,1967
Waylon Jennings,Good Hearted Woman,Good Hearted Woman,1972-02-01
Tammy Wynette,Stand By Your Man,Stand By Your Man,1968
George Jones,A Picture of Me (Without You),A Picture of Me (Without You),1972-10-17
honeyhoney,"The Guest Book, Season One: Live at Chubby's",Arrow of Love,2018-10-08
Chet Atkins,Chet Atkins - The Master And His Music,Do I Ever Cross Your Mind,2001-02-07
Loretta Lynn,The Definitive Collection,After The Fire Is Gone - Single Version,2005-01-01
David Allan Coe,The Essential David Allan Coe,You Never Even Called Me By My Name,1974
Johnny Paycheck,Super Hits,She's All I Got,1971
Bobby Bare,Me and McDill,The Woman in Every Man's Life,1977-01-01
Patsy Cline,Sentimentally Yours,She's Got You - Single Version,1962
Townes Van Zandt,Townes Van Zandt,I'll Be Here in the Morning,1969-09
Gram Parsons,GP,A Song for You - Remastered Version,1973
Marty Robbins,My Kind of Country,Would You Take Me Back Again,1967-03-06
Don Gibson,RCA Country Legends: Don Gibson,Sea of Heartbreak,2001-05-15
Hank Locklin,RCA Country Legends,Send Me the Pillow You Dream On,2003-03-03
Webb Pierce,20th Century Masters: The Millennium Collection: Best Of Webb Pierce,Why Baby Why - Single Version,2001-01-01
Johnny Cash,I Walk the Line,I Still Miss Someone,1964-06-13
Brenda Lee,"Brenda, That's All",Someday You'll Want Me To Want You,1962-10-15
The Everly Brothers,The Golden Hits Of The Everly Brothers,Crying in the Rain,1962-06-01
Hank Williams,"The Legend Lives Anew: Hank Williams, Sr. With Strings",I'm So Lonesome I Could Cry,1966-12-04
Ray Price,Super Hits,Heartaches By The Number,1954
Buck Owens,All-Time Greatest Hits,Love's Gonna Live Here,2010-08-31
honeyhoney,"The Guest Book, Season One: Live at Chubby's",Nothing I Can Do About It Now,2018-10-08
Red Foley,Salty Dog Rag,Careless Kisses,2014-03-15
The Louvin Brothers,My Baby's Gone,My Baby's Gone,2007-01-01
Connie Smith,The Essential Connie Smith,Once a Day,1996-04-15
Jerry Reed,The Essential Jerry Reed,Remembering,2015-10-02
Kacey Musgraves,Golden Hour,Golden Hour,2018-03-30
Russell Dickerson,Yours,Yours,2015-07-23
Scotty McCreery,Seasons Change,Five More Minutes,2018-01-12
Kenny Chesney,Welcome To The Fishbowl,Come Over,2012-06-19
Chris Young,I'm Comin' Over,What If I Stay,2015-11-13
Drake White,Makin' Me Look Good Again,Makin’ Me Look Good Again,2016-07-22
Old Dominion,Meat and Candy,Song for Another Time,2015-11-06
Rascal Flatts,Back To Us,Yours If You Want It,2017-05-19
